sport,game_id,game_date,league_id,league_name,season,home_team_id,home_team_name,away_team_id,away_team_name,result,odds_home,odds_away,odds_draw,favourite
baseball,154292,2024-06-16T01:10:00+00:00,1,MLB,2024,18,Los Angeles Dodgers,16,Kansas City Royals,away,1.4076923076923076,3.0115384615384615,10000,home
baseball,154281,2024-06-16T02:10:00+00:00,1,MLB,2024,2,Arizona Diamondbacks,7,Chicago White Sox,away,1.5846153846153848,2.4269230769230767,10000,home
baseball,154300,2024-06-16T17:05:00+00:00,1,MLB,2024,6,Chicago Cubs,33,St.Louis Cardinals,away,1.7561538461538462,2.1130769230769233,10000,home
baseball,154293,2024-06-16T17:35:00+00:00,1,MLB,2024,3,Atlanta Braves,34,Tampa Bay Rays,away,1.8053846153846151,2.043076923076923,10000,home
baseball,154294,2024-06-16T17:35:00+00:00,1,MLB,2024,4,Baltimore Orioles,27,Philadelphia Phillies,home,1.7223076923076923,2.166153846153846,10000,home
baseball,154295,2024-06-16T17:35:00+00:00,1,MLB,2024,37,Washington Nationals,19,Miami Marlins,home,1.816923076923077,2.0276923076923077,10000,home
baseball,154296,2024-06-16T17:37:00+00:00,1,MLB,2024,36,Toronto Blue Jays,9,Cleveland Guardians,home,1.8392307692307692,1.9984615384615383,10000,home
baseball,154297,2024-06-16T17:40:00+00:00,1,MLB,2024,24,New York Mets,30,San Diego Padres,home,2.1553846153846155,1.7276923076923076,10000,home
basketball,384843,2024-06-16T16:00:00+00:00,13,NBA W,2024,166,Indiana Fever W,163,Chicago Sky W,home,1.6925,2.1906250000000003,10000,home
basketball,384842,2024-06-16T19:00:00+00:00,13,NBA W,2024,171,Phoenix Mercury W,172,Seattle Storm W,home,2.319375,1.6225,10000,home
basketball,384844,2024-06-16T19:00:00+00:00,13,NBA W,2024,162,Atlanta Dream W,168,Los Angeles Sparks W,home,1.44875,2.786875,10000,home
football,1145513,2024-06-16T16:00:00+00:00,4,Euros Championship,2024,1091,Slovenia,21,Denmark,draw,5.6129411764705885,1.6935294117647055,3.626470588235294,away
football,1145514,2024-06-16T19:00:00+00:00,4,Euros Championship,2024,14,Serbia,10,England,away,7.158823529411765,1.4694117647058824,4.472941176470588,away
football,1189846,2024-06-16T13:00:00+00:00,4,Euros Championship,2024,24,Poland,1118,Netherlands,away,7.157058823529412,1.4770588235294118,4.411176470588235,away
baseball,154308,2024-06-17T22:40:00+00:00,1,MLB,2024,19,Miami Marlins,33,St.Louis Cardinals,away,2.289230769230769,1.6492307692307693,10000,home
baseball,154309,2024-06-17T22:40:00+00:00,1,MLB,2024,27,Philadelphia Phillies,30,San Diego Padres,home,1.5061538461538462,2.653076923076923,10000,home
baseball,154310,2024-06-17T22:40:00+00:00,1,MLB,2024,28,Pittsburgh Pirates,8,Cincinnati Reds,home,1.5515384615384615,2.5076923076923077,10000,home
baseball,154311,2024-06-17T23:07:00+00:00,1,MLB,2024,36,Toronto Blue Jays,5,Boston Red Sox,away,1.8046153846153847,2.04,10000,home
baseball,154312,2024-06-17T23:20:00+00:00,1,MLB,2024,3,Atlanta Braves,12,Detroit Tigers,home,1.4638461538461538,2.793076923076923,10000,home
football,1189847,2024-06-17T13:00:00+00:00,4,Euros Championship,2024,774,Romania,772,Ukraine,home,4.384705882352941,1.904705882352941,3.4288235294117646,away
football,1145516,2024-06-17T16:00:00+00:00,4,Euros Championship,2024,1,Belgium,773,Slovakia,away,1.4641176470588235,7.287058823529412,4.46,home
